ID,Street,City,ZipCode,State,County,Proportion_60+,MedianIncome,Dist_from_GolfCourse,Dist_from_Lake,GatedCommunity,Pool,Priority,SolarPanels,XmasLights,GutterCleaning,WindowCleaning,SeniorCommunity,CensusYear,CensusBlock,FullFipsBlock,Trees,Latitude,Longitude,SquareFeet,NumStories,SoldPrice,SoldDate,YearBuilt,Bedrooms,Bathrooms,Comments
10,805 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840123,-121.259843,,,,,,,,
11,2042 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840642,-121.264297,,,,,,,,
12,2006 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840682,-121.265202,,,,,,,,
13,2186 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.840677,-121.261004,,,,,,,,
14,1009 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840791,-121.257757,,,,,,,,
15,901 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.841096,-121.259125,,,,,,,,
16,1003 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.84127,-121.258205,,,,,,,,
17,2282 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84137,-121.259318,,,,,,,,
18,2006 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.84143,-121.262472,,,,,,,,
19,2002 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841596,-121.262071,,,,,,,,
20,2304 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84162,-121.260557,,,,,,,,
21,2307 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84176,-121.260223,,,,,,,,
22,2099 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842544,-121.263478,,,,,,,,
23,2060 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.84275,-121.264094,,,,,,,,
24,2452 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842927,-121.259255,,,,,,,,
25,2183 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.843147,-121.26243,,,,,,,,
26,2387 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.84322,-121.260091,,,,,,,,
27,2156 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.843326,-121.262718,,,,,,,,
28,2207 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843396,-121.262162,,,,,,,,
29,2320 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.844123,-121.260684,,,,,,,,
30,810 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.8393,-121.260247,,,,,,,,
31,911 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840087,-121.258597,,,,,,,,
32,1875 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1000,60610235021000,,38.840192,-121.267855,,,,,,,,
33,1010 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840305,-121.258094,,,,,,,,
34,1970 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840661,-121.266088,,,,,,,,
35,2007 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841135,-121.262437,,,,,,,,
36,2270 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841277,-121.259513,,,,,,,,
37,2306 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841471,-121.260504,,,,,,,,
38,2309 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84163,-121.260124,,,,,,,,
39,2548 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.841741,-121.258619,,,,,,,,
40,2135 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842733,-121.26297,,,,,,,,
41,2464 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842779,-121.259169,,,,,,,,
42,2232 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.842795,-121.260675,,,,,,,,
43,2244 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.842931,-121.260526,,,,,,,,
44,2404 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.84346,-121.259701,,,,,,,,
45,2392 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.843574,-121.259847,,,,,,,,
46,2327 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843868,-121.26088,,,,,,,,
47,2291 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.844196,-121.261371,,,,,,,,
48,2308 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.844213,-121.260823,,,,,,,,
49,2296 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.844306,-121.260958,,,,,,,,
50,809 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.839725,-121.259749,,,,,,,,
51,1867 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1000,60610235021000,,38.840191,-121.268112,,,,,,,,
52,800 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840364,-121.260508,,,,,,,,
53,907 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840507,-121.258745,,,,,,,,
54,1008 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840517,-121.258212,,,,,,,,
55,2162 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840648,-121.261532,,,,,,,,
56,900 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.8408,-121.259605,,,,,,,,
57,2210 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.840821,-121.260441,,,,,,,,
58,1007 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840942,-121.257926,,,,,,,,
59,2302 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841808,-121.260612,,,,,,,,
60,2075 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842479,-121.263885,,,,,,,,
61,2435 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.842594,-121.259578,,,,,,,,
62,2171 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.843015,-121.262506,,,,,,,,
63,2351 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.843585,-121.260609,,,,,,,,
64,2368 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.843771,-121.260106,,,,,,,,
65,2246 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841061,-121.259876,,,,,,,,
66,2258 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841181,-121.259686,,,,,,,,
67,2308 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841275,-121.260385,,,,,,,,
68,1000 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.841265,-121.258747,,,,,,,,
69,2294 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841463,-121.259143,,,,,,,,
70,2305 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841903,-121.260306,,,,,,,,
71,2512 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842182,-121.258909,,,,,,,,
72,2063 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842442,-121.264032,,,,,,,,
73,2488 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842499,-121.259013,,,,,,,,
74,2048 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.842725,-121.264344,,,,,,,,
75,2072 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.842765,-121.263922,,,,,,,,
76,2251 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.842772,-121.260097,,,,,,,,
77,2108 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.84293,-121.263342,,,,,,,,
78,2411 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.842949,-121.259814,,,,,,,,
79,2428 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.843231,-121.259463,,,,,,,,
80,2255 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843847,-121.261721,,,,,,,,
81,2267 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843962,-121.261603,,,,,,,,
82,2284 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.844417,-121.261098,,,,,,,,
83,806 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.839723,-121.260408,,,,,,,,
84,906 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840125,-121.259329,,,,,,,,
85,803 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.84034,-121.259873,,,,,,,,
86,904 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840358,-121.259347,,,,,,,,
87,801 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840583,-121.25996,,,,,,,,
88,2066 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840639,-121.263787,,,,,,,,
89,2150 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840648,-121.261832,,,,,,,,
90,2005 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841104,-121.262187,,,,,,,,
91,1005 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.841105,-121.258017,,,,,,,,
92,2536 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.841875,-121.258753,,,,,,,,
93,2524 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842039,-121.258828,,,,,,,,
94,2184 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.842263,-121.261166,,,,,,,,
95,2087 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842503,-121.263691,,,,,,,,
96,2111 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842599,-121.263307,,,,,,,,
97,2123 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.84266,-121.263124,,,,,,,,
98,2159 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842902,-121.262648,,,,,,,,
99,2256 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.843079,-121.260382,,,,,,,,
100,2144 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.843214,-121.262846,,,,,,,,
101,2168 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.843451,-121.262601,,,,,,,,
102,2363 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.843481,-121.260427,,,,,,,,
103,2315 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843987,-121.261041,,,,,,,,
104,908 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.839947,-121.259273,,,,,,,,
105,802 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840142,-121.260447,,,,,,,,
106,1946 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840658,-121.26666,,,,,,,,
107,1982 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840664,-121.265808,,,,,,,,
108,905 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840711,-121.25881,,,,,,,,
109,1004 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840922,-121.258438,,,,,,,,
110,2311 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841454,-121.259957,,,,,,,,
111,1001 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.84145,-121.258358,,,,,,,,
112,2300 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.841972,-121.260808,,,,,,,,
113,2303 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.842088,-121.260407,,,,,,,,
114,2500 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842333,-121.258978,,,,,,,,
115,2196 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.842409,-121.261014,,,,,,,,
116,2476 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2006,60610235022006,,38.842641,-121.259096,,,,,,,,
117,2375 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.84336,-121.260257,,,,,,,,
118,2219 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843509,-121.262033,,,,,,,,
119,2356 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.84386,-121.260252,,,,,,,,
120,804 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.839948,-121.26043,,,,,,,,
121,909 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840315,-121.258685,,,,,,,,
122,2054 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840638,-121.264039,,,,,,,,
123,1958 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840656,-121.266379,,,,,,,,
124,2138 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840641,-121.262109,,,,,,,,
125,1011 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840615,-121.257606,,,,,,,,
126,2198 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84073,-121.260717,,,,,,,,
127,2222 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84091,-121.260235,,,,,,,,
128,2003 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841186,-121.261936,,,,,,,,
129,2004 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841515,-121.262273,,,,,,,,
130,2000 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841691,-121.261868,,,,,,,,
131,2160 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.841935,-121.261589,,,,,,,,
132,2172 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.842081,-121.261378,,,,,,,,
133,2051 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2018,60610235022018,,38.842428,-121.264279,,,,,,,,
134,2227 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.842507,-121.260406,,,,,,,,
135,2208 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.84253,-121.260861,,,,,,,,
136,2220 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2013,60610235022013,,38.84268,-121.260738,,,,,,,,
137,2084 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.842796,-121.26371,,,,,,,,
138,2120 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.842998,-121.263141,,,,,,,,
139,2180 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.843559,-121.262505,,,,,,,,
140,2380 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.843667,-121.259969,,,,,,,,
141,2243 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2017,60610235022017,,38.843733,-121.261829,,,,,,,,
142,2344 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.84396,-121.260389,,,,,,,,
143,2332 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2014,60610235022014,,38.844022,-121.260553,,,,,,,,
144,808 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.839512,-121.260355,,,,,,,,
145,811 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.839545,-121.259641,,,,,,,,
146,1851 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1000,60610235021000,,38.840184,-121.268619,,,,,,,,
147,1883 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1000,60610235021000,,38.840189,-121.267607,,,,,,,,
148,902 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840591,-121.259429,,,,,,,,
149,2030 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840644,-121.264587,,,,,,,,
150,2114 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840639,-121.262677,,,,,,,,
151,2078 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.84065,-121.263515,,,,,,,,
152,1994 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840666,-121.265507,,,,,,,,
153,1006 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840716,-121.258313,,,,,,,,
154,3804 20TH AVE,SACRAMENTO,95820,CA,Sacramento County,0.134,38750.0,,,,,4.0,T,,,T,,2021,3025,60670037003025,,38.534234,-121.465684,2566,,55000,,,,,address identified as a new home development built since 2296
155,3803 23RD AVE,SACRAMENTO,95820,CA,Sacramento County,0.102,32874.0,,,,,4.0,T,,,T,,2021,1022,60670037001022,,38.53208,-121.466309,1529,1.0,370000,,,,,address identified as a new home development built since 2297
156,6633 24TH ST,SACRAMENTO,95822,CA,Sacramento County,0.174,35469.0,,,,,4.0,T,,,T,,2021,3015,60670041003015,,38.505481,-121.482589,5954,,,,,,,address identified as a new home development built since 2298
157,6133 25TH ST,SACRAMENTO,95822,CA,Sacramento County,0.222,59250.0,,,,,4.0,T,,,T,,2021,2008,60670041002008,,38.514068,-121.481384,1855,1.0,385000,,,,,address identified as a new home development built since 2299
